sim_index,success,n_nodes,n_elems,coverage_percent,almen_MPa,V,D_mm,n_shots,pattern_mode,elapsed_s,error
339,True,2601,2500,83.75925452895409,-4873.8432,35.23968259008063,0.9320686693159892,104,sparse,3.440272299980279,
340,True,2601,2500,75.03317104230263,-3343.791104,53.99351839834768,0.6939327392269177,85,random,2.831440699985251,
341,True,2601,2500,44.55367967767556,-2258.789632,46.37440687466272,0.646308607235102,39,sparse,1.2241255000117235,
342,True,2601,2500,37.06150368960497,-1973.034368,45.96942276634434,0.6304764594931307,24,uniform,0.7885369000141509,
343,True,2601,2500,22.990175522805544,-1802.392064,52.54742734848207,0.35621331206123846,42,uniform,1.4639157999772578,
344,True,2601,2500,35.89074574801585,-1972.479488,49.45879015635215,0.5871428758674369,47,bimodal,1.3115471000201069,
345,True,2601,2500,27.680244636001817,-1901.323008,47.707815982956326,0.5769503741675797,33,uniform,1.0131557999993674,
346,True,2601,2500,90.97273797175849,-3133.920512,33.30931732877684,0.7320433474092503,120,uniform,3.7806226999964565,
347,True,2601,2500,61.38675898233499,-2512.60416,34.81672984874231,0.7242638204360495,81,uniform,2.717465399997309,
348,True,2601,2500,49.58498488375827,-2634.904576,32.42731819713431,0.7445918683359065,46,random,1.413510199985467,
349,True,2601,2500,68.77485472006619,-2549.375232,37.54229378704362,0.7012463069201441,102,bimodal,3.3476163999876007,
350,True,2601,2500,40.45606895950253,-1854.442752,56.39433744639764,0.6116117999296096,33,random,1.0964839999796823,
351,True,2601,2500,81.48618483694075,-5822.322688,47.60475513777972,0.6526603866695054,79,gradient,2.630237700010184,
352,True,2601,2500,61.23217741543895,-2717.961728,34.79437024085624,0.698708065230959,89,random,2.7384176999912597,
353,True,2601,2500,13.59692866480582,-1895.831808,52.59768058556283,0.33698519321455345,38,random,1.2836517000105232,
354,True,2601,2500,57.32862469679916,-5845.693952,46.68980746760807,0.41926279336612143,104,sparse,3.1616352000273764,
355,True,2601,2500,51.13108488824897,-2694.258944,32.340000952133906,0.7809732260643962,56,gradient,1.574911899981089,
356,True,2601,2500,29.40509853165938,-1575.53536,34.765685593192444,0.578657477397379,43,bimodal,1.432751999993343,
357,True,2601,2500,64.99711680537293,-2177.693184,34.83242241942333,0.4925820917677452,117,sparse,3.826826100004837,
